THE NPOD0THE NT 0
C (20,20)
G (20,20)
FLP
power
P (20,11)
PD
Starting Solver!
Timestamp: 0.154696, rank 0, front
Timestamp: 0.156481, rank 0, back
Timestamp: 0.157912, rank 0, front
Timestamp: 0.159278, rank 0, back
Timestamp: 0.161086, rank 0, front
Timestamp: 0.162348, rank 0, back
Timestamp: 0.164158, rank 0, front
Timestamp: 0.165586, rank 0, back
Timestamp: 0.166916, rank 0, front
Timestamp: 0.168251, rank 0, back
Timestamp: 0.169141, rank 0, front
Timestamp: 0.170416, rank 0, back
Timestamp: 0.171244, rank 0, front
Timestamp: 0.172355, rank 0, back
Timestamp: 0.173198, rank 0, front
Timestamp: 0.174478, rank 0, back
Timestamp: 0.175304, rank 0, front
Timestamp: 0.176610, rank 0, back
Timestamp: 0.177465, rank 0, front
Timestamp: 0.178742, rank 0, back
Timestamp: 0.179559, rank 0, front
Timestamp: 0.180866, rank 0, back
Timestamp: 0.181690, rank 0, front
Timestamp: 0.183000, rank 0, back
Timestamp: 0.183859, rank 0, front
Timestamp: 0.184964, rank 0, back
Timestamp: 0.185796, rank 0, front
Timestamp: 0.186884, rank 0, back
Timestamp: 0.187705, rank 0, front
Timestamp: 0.188855, rank 0, back
Timestamp: 0.189676, rank 0, front
Timestamp: 0.190960, rank 0, back
Timestamp: 0.191822, rank 0, front
Timestamp: 0.193144, rank 0, back
Timestamp: 0.193961, rank 0, front
Timestamp: 0.195268, rank 0, back
Timestamp: 0.196302, rank 0, front
Timestamp: 0.197765, rank 0, back
Timestamp: 0.199189, rank 0, front
Timestamp: 0.200655, rank 0, back
Timestamp: 0.202165, rank 0, front
Timestamp: 0.203630, rank 0, back
Timestamp: 0.205001, rank 0, front
Timestamp: 0.206407, rank 0, back
Timestamp: 0.207570, rank 0, front
Timestamp: 0.208964, rank 0, back
Timestamp: 0.210089, rank 0, front
Timestamp: 0.211466, rank 0, back
Timestamp: 0.212699, rank 0, front
Timestamp: 0.214081, rank 0, back
Timestamp: 0.215363, rank 0, front
Timestamp: 0.216799, rank 0, back
Timestamp: 0.218029, rank 0, front
Timestamp: 0.219401, rank 0, back
Timestamp: 0.220670, rank 0, front
Timestamp: 0.221594, rank 0, back
Timestamp: 0.222332, rank 0, front
Timestamp: 0.223097, rank 0, back
Timestamp: 0.223855, rank 0, front
Timestamp: 0.225085, rank 0, back
Timestamp: 0.226283, rank 0, front
Timestamp: 0.227698, rank 0, back
Timestamp: 0.228986, rank 0, front
Timestamp: 0.230378, rank 0, back
Timestamp: 0.231369, rank 0, front
Timestamp: 0.232218, rank 0, back
Timestamp: 0.233029, rank 0, front
Timestamp: 0.233838, rank 0, back
Timestamp: 0.234678, rank 0, front
Timestamp: 0.235487, rank 0, back
Timestamp: 0.236307, rank 0, front
Timestamp: 0.237115, rank 0, back
Timestamp: 0.237912, rank 0, front
Timestamp: 0.238694, rank 0, back
Timestamp: 0.239412, rank 0, front
Timestamp: 0.240164, rank 0, back
Timestamp: 0.240817, rank 0, front
Timestamp: 0.241554, rank 0, back
Timestamp: 0.242172, rank 0, front
Timestamp: 0.242919, rank 0, back
Timestamp: 0.243570, rank 0, front
Timestamp: 0.244356, rank 0, back
Timestamp: 0.245069, rank 0, front
Timestamp: 0.245845, rank 0, back
Timestamp: 0.246588, rank 0, front
Timestamp: 0.247368, rank 0, back
Timestamp: 0.248216, rank 0, front
Timestamp: 0.249022, rank 0, back
Timestamp: 0.249829, rank 0, front
Timestamp: 0.250630, rank 0, back
Timestamp: 0.251440, rank 0, front
Timestamp: 0.252265, rank 0, back
Timestamp: 0.253085, rank 0, front
Timestamp: 0.253889, rank 0, back
Timestamp: 0.254721, rank 0, front
Timestamp: 0.255509, rank 0, back
Timestamp: 0.256278, rank 0, front
Timestamp: 0.257058, rank 0, back
Timestamp: 0.257732, rank 0, front
Timestamp: 0.258474, rank 0, back
Timestamp: 0.259079, rank 0, front
Timestamp: 0.259829, rank 0, back
Timestamp: 0.260510, rank 0, front
Timestamp: 0.261262, rank 0, back
Timestamp: 0.261927, rank 0, front
Timestamp: 0.262667, rank 0, back
Timestamp: 0.263266, rank 0, front
Timestamp: 0.264023, rank 0, back
Timestamp: 0.264651, rank 0, front
Timestamp: 0.265402, rank 0, back
Timestamp: 0.266095, rank 0, front
Timestamp: 0.266848, rank 0, back
Timestamp: 0.267488, rank 0, front
Timestamp: 0.268252, rank 0, back
Timestamp: 0.268848, rank 0, front
Timestamp: 0.269582, rank 0, back
Timestamp: 0.270141, rank 0, front
Timestamp: 0.270854, rank 0, back
Timestamp: 0.271381, rank 0, front
Timestamp: 0.272167, rank 0, back
Timestamp: 0.272707, rank 0, front
Timestamp: 0.273416, rank 0, back
Timestamp: 0.273986, rank 0, front
Timestamp: 0.274698, rank 0, back
Timestamp: 0.275228, rank 0, front
Timestamp: 0.275953, rank 0, back
Timestamp: 0.276483, rank 0, front
Timestamp: 0.277194, rank 0, back
Timestamp: 0.277721, rank 0, front
Timestamp: 0.278430, rank 0, back
Timestamp: 0.279001, rank 0, front
Timestamp: 0.279710, rank 0, back
Timestamp: 0.280263, rank 0, front
Timestamp: 0.280971, rank 0, back
Timestamp: 0.281498, rank 0, front
Timestamp: 0.282205, rank 0, back
Timestamp: 0.282724, rank 0, front
Timestamp: 0.283429, rank 0, back
Timestamp: 0.283995, rank 0, front
Timestamp: 0.284704, rank 0, back
Timestamp: 0.285226, rank 0, front
Timestamp: 0.285935, rank 0, back
Timestamp: 0.286455, rank 0, front
Timestamp: 0.287162, rank 0, back
Timestamp: 0.287683, rank 0, front
Timestamp: 0.288403, rank 0, back
Timestamp: 0.288927, rank 0, front
Timestamp: 0.289634, rank 0, back
Timestamp: 0.290177, rank 0, front
Timestamp: 0.290884, rank 0, back
Timestamp: 0.291404, rank 0, front
Timestamp: 0.292138, rank 0, back
Timestamp: 0.292665, rank 0, front
Timestamp: 0.293373, rank 0, back
Timestamp: 0.293893, rank 0, front
Timestamp: 0.294598, rank 0, back
Timestamp: 0.295144, rank 0, front
Timestamp: 0.295855, rank 0, back
Timestamp: 0.296386, rank 0, front
Timestamp: 0.297092, rank 0, back
Timestamp: 0.297612, rank 0, front
Timestamp: 0.298320, rank 0, back
Timestamp: 0.298843, rank 0, front
Timestamp: 0.299549, rank 0, back
Timestamp: 0.300095, rank 0, front
Timestamp: 0.300801, rank 0, back
Timestamp: 0.301356, rank 0, front
Timestamp: 0.302063, rank 0, back
Timestamp: 0.302583, rank 0, front
Timestamp: 0.303287, rank 0, back
Timestamp: 0.303808, rank 0, front
Timestamp: 0.304528, rank 0, back
Timestamp: 0.305049, rank 0, front
Timestamp: 0.305757, rank 0, back
Timestamp: 0.306302, rank 0, front
Timestamp: 0.307008, rank 0, back
Timestamp: 0.307528, rank 0, front
Timestamp: 0.308247, rank 0, back
Timestamp: 0.308768, rank 0, front
Timestamp: 0.309477, rank 0, back
Timestamp: 0.309997, rank 0, front
Timestamp: 0.310705, rank 0, back
Timestamp: 0.311229, rank 0, front
Timestamp: 0.311954, rank 0, back
Timestamp: 0.312500, rank 0, front
Timestamp: 0.313208, rank 0, back
Timestamp: 0.313728, rank 0, front
Timestamp: 0.314434, rank 0, back
Timestamp: 0.314954, rank 0, front
Timestamp: 0.315655, rank 0, back
Timestamp: 0.316182, rank 0, front
Timestamp: 0.316885, rank 0, back
Timestamp: 0.317430, rank 0, front
Timestamp: 0.318136, rank 0, back
Timestamp: 0.318666, rank 0, front
Timestamp: 0.319373, rank 0, back
Timestamp: 0.319896, rank 0, front
Timestamp: 0.320613, rank 0, back
Timestamp: 0.321130, rank 0, front
Timestamp: 0.321834, rank 0, back
Timestamp: 0.322424, rank 0, front
Timestamp: 0.323132, rank 0, back
Timestamp: 0.323676, rank 0, front
Timestamp: 0.324408, rank 0, back
Timestamp: 0.324933, rank 0, front
Timestamp: 0.325640, rank 0, back
Timestamp: 0.326161, rank 0, front
Timestamp: 0.326865, rank 0, back
Timestamp: 0.327383, rank 0, front
Timestamp: 0.328101, rank 0, back
Timestamp: 0.328654, rank 0, front
Timestamp: 0.329362, rank 0, back
Timestamp: 0.329883, rank 0, front
Timestamp: 0.330592, rank 0, back
Timestamp: 0.331112, rank 0, front
Timestamp: 0.331820, rank 0, back
Timestamp: 0.332355, rank 0, front
Timestamp: 0.333061, rank 0, back
Timestamp: 0.333583, rank 0, front
Timestamp: 0.334291, rank 0, back
Timestamp: 0.334836, rank 0, front
Timestamp: 0.335544, rank 0, back
Timestamp: 0.336097, rank 0, front
Timestamp: 0.336806, rank 0, back
Timestamp: 0.337333, rank 0, front
Timestamp: 0.338039, rank 0, back
Timestamp: 0.338557, rank 0, front
Timestamp: 0.339264, rank 0, back
Timestamp: 0.339809, rank 0, front
Timestamp: 0.340523, rank 0, back
Timestamp: 0.341044, rank 0, front
Timestamp: 0.341751, rank 0, back
Timestamp: 0.342272, rank 0, front
Timestamp: 0.342977, rank 0, back
Timestamp: 0.343495, rank 0, front
Timestamp: 0.344211, rank 0, back
Timestamp: 0.344756, rank 0, front
Timestamp: 0.345511, rank 0, back
Timestamp: 0.346034, rank 0, front
Timestamp: 0.346746, rank 0, back
Timestamp: 0.347265, rank 0, front
Timestamp: 0.347998, rank 0, back
Timestamp: 0.348524, rank 0, front
Timestamp: 0.349231, rank 0, back
Timestamp: 0.349753, rank 0, front
Timestamp: 0.350457, rank 0, back
Timestamp: 0.351001, rank 0, front
Timestamp: 0.351705, rank 0, back
Timestamp: 0.352238, rank 0, front
Timestamp: 0.352944, rank 0, back
Timestamp: 0.353475, rank 0, front
Timestamp: 0.354184, rank 0, back
Timestamp: 0.354704, rank 0, front
Timestamp: 0.355408, rank 0, back
Timestamp: 0.355962, rank 0, front
Timestamp: 0.356670, rank 0, back
Timestamp: 0.357191, rank 0, front
Timestamp: 0.357896, rank 0, back
Timestamp: 0.358414, rank 0, front
Timestamp: 0.359121, rank 0, back
Timestamp: 0.359642, rank 0, front
Timestamp: 0.360369, rank 0, back
Timestamp: 0.360894, rank 0, front
Timestamp: 0.361604, rank 0, back
Timestamp: 0.362146, rank 0, front
Timestamp: 0.362856, rank 0, back
Timestamp: 0.363376, rank 0, front
Timestamp: 0.364091, rank 0, back
Timestamp: 0.364614, rank 0, front
Timestamp: 0.365322, rank 0, back
Timestamp: 0.365839, rank 0, front
Timestamp: 0.366547, rank 0, back
Timestamp: 0.367091, rank 0, front
Timestamp: 0.367798, rank 0, back
Timestamp: 0.368328, rank 0, front
Timestamp: 0.369034, rank 0, back
Timestamp: 0.369556, rank 0, front
Timestamp: 0.370263, rank 0, back
Timestamp: 0.370791, rank 0, front
Timestamp: 0.371498, rank 0, back
Timestamp: 0.372041, rank 0, front
